"filename", "language", "JSON", "Java", "comment", "blank", "total"
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ControllerHandler.java", "Java", 0, 3, -3, 1, 1
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\AccountManagementCon.java", "Java", 0, 1, 0, 0, 1
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\DashboardCon.java", "Java", 0, 9, 0, 0, 9
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\DepositCon.java", "Java", 0, -2, 1, 0, -1
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\MetaforaCon.java", "Java", 0, -30, -2, -2, -34
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\PayBillCon.java", "Java", 0, -3, 4, 0, 1
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\RegisterCompanyCon.java", "Java", 0, 1, 1, 2, 4
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\RegisterIndividualCon.java", "Java", 0, 0, 1, 1, 2
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\StandingOrdersCon.java", "Java", 0, 38, 0, 10, 48
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Controller\ScreenControllers\WithdrawCon.java", "Java", 0, -2, 0, 0, -2
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\DatabaseObjectConverter.java", "Java", 0, 21, 2, 7, 30
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Database\OrderDB.java", "Java", 0, 168, 31, 55, 254
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Database\TransactionDB.java", "Java", 0, 14, 0, 3, 17
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\OperationEntities\StandingOrder.java", "Java", 0, 5, 0, 0, 5
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Entities\UserEntities\Account.java", "Java", 0, 16, 0, 10, 26
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\ModelHandler.java", "Java", 0, 11, 0, 3, 14
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\Model\Session.java", "Java", 0, 37, 3, 11, 51
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\BillPaymentScreen.java", "Java", 0, 6, 3, -2, 7
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\DashboardScreen.java", "Java", 0, -1, 12, 0, 11
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\DepositScreen.java", "Java", 0, 8, 3, 0, 11
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\LoginScreen.java", "Java", 0, 2, 0, 0, 2
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\MetaforaScreen.java", "Java", 0, 6, 3, -1, 8
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\StandingOrdersScreen.java", "Java", 0, 42, 2, 6, 50
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\Screens\StatementsScreen.java", "Java", 0, 4, 4, 0, 8
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\UML\App\View\ViewHandler.java", "Java", 0, 0, 0, 1, 1
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\orders.json", "JSON", 9, 0, 0, 1, 10
"c:\Users\arisp\Documents\UML_Project\DEBGAINOUNTAUML\transactions.json", "JSON", -40, 0, 0, 0, -40
"Total", "-", -31, 354, 65, 106, 494
